Tahun,Fase,K,Sil,BIC,AIC,CH,DB,LL
2019,Pre-COVID,2,0.04953433201359108,50241.06905274823,34126.6096889015,4.250478198991326,5.289781082008589,-11662.304844450753
2019,Pre-COVID,3,0.04430743738071502,41798.0862592518,17624.905410170857,5.849261966587426,3.923342930663773,-710.452705085429
2019,Pre-COVID,4,0.04620755809853974,26550.355150572817,-5681.547183742339,7.493500776220519,3.725873867843123,13643.77359187117
2019,Pre-COVID,5,0.08050731218605811,25504.15808500712,-14786.46573454226,8.991517875070924,3.043005218369052,20897.23286727113
2019,Pre-COVID,6,0.06749797574677707,41173.38615045409,-7175.959154329503,7.232495968546539,3.215082291440171,19792.97957716475
2020,COVID Crisis,2,0.03319880894098926,94467.57934616056,74953.0744435586,8.551272033923128,4.533930330956945,-32075.537221779297
2020,COVID Crisis,3,0.05068870483798993,83870.13048357196,54596.56656561582,10.194845482475982,3.4290094747202926,-19196.28328280791
2020,COVID Crisis,4,0.057011669231599255,85293.53503289976,46260.91209958943,13.920389119563934,3.2847612884324557,-12327.456049794717
2020,COVID Crisis,5,0.05034346817011474,78114.5967987498,29322.91485008529,11.721846486951382,3.477105602131543,-1157.457425042645
2020,COVID Crisis,6,0.04989226190165341,66752.96536485845,8202.224400839772,11.629825062277437,3.1088755161985744,12103.887799580114
2021,COVID Crisis,2,0.1196873121037169,91452.86569199945,71430.76315209077,22.149133034978192,2.328821846386416,-30314.381576045387
2021,COVID Crisis,3,0.041029204805171936,89466.70489405209,59431.69752905669,10.15995989157892,3.4052983735323674,-21613.848764528346
2021,COVID Crisis,4,0.03623258589792524,88826.28714750895,48778.37495742686,12.76706368033173,2.9431281467826524,-13586.187478713427
2021,COVID Crisis,5,0.04282299650567606,76448.67277654637,26387.855761377556,10.797976845594015,3.513876873731518,310.0721193112213
2021,COVID Crisis,6,0.05946136289954536,82877.22908631581,22803.50724606028,15.472701576625163,3.1234380837899534,4803.246376969861
2022,Recovery,2,0.07002521023688642,144496.71481885272,122207.49435545201,12.365087839268714,3.585383736867801,-55702.74717772601
2022,Recovery,3,0.04235151243822533,155525.85480920406,122089.96067951093,16.763244584484145,3.830580114013238,-52942.980339755464
2022,Recovery,4,0.043089748235517006,145524.94462015457,100942.37682416904,14.91381543883173,3.066529444646715,-39668.18841208452
2022,Recovery,5,0.023014091914386026,160472.28160817036,104743.04014589239,12.220820194732383,3.873538043810531,-38867.520072946194
2022,Recovery,6,0.033601509457513,149483.6049611452,82607.68983257483,15.24049264467201,3.338847803754591,-25098.844916287417
2023,Recovery,2,0.10740553248295842,222091.31529087835,197667.49208796135,35.8594484958394,2.3807841490781363,-93432.74604398067
2023,Recovery,3,0.05106912878530675,226596.4064547021,189958.41060392754,21.577030831783222,3.869179202770713,-86877.20530196377
2023,Recovery,4,0.024596753689340226,236844.52546504713,187992.35696641498,22.168418901236684,3.9130630107551183,-83193.17848320749
2023,Recovery,5,0.01865841379563667,242124.90852477023,181058.5673782805,18.605397018918673,4.421163262281016,-77025.28368914025
2023,Recovery,6,0.039300640640698686,254063.3711572048,180782.8573628575,23.229503354955522,3.8215877001660963,-74186.42868142875
2024,Recovery,2,0.021145014531724383,169769.5520975335,146974.14458882483,17.320751969688615,3.6308683499096115,-68086.07229441241
2024,Recovery,3,0.03978873927111402,169433.0593594939,135237.8378013458,12.111698180892601,3.3720058679423217,-59516.9189006729
2024,Recovery,4,0.024545609014142378,176457.50365830908,130862.4680507216,18.314137104719617,3.95749004085054,-54628.2340253608
2024,Recovery,5,0.007300776490320623,171916.23866975622,114921.38901272934,15.231958499830426,3.8943301786120124,-43956.69450636467
2024,Recovery,6,0.039339985688686345,166848.22163282498,98453.55792635868,20.203240788814046,3.207660387562163,-33021.77896317934
