Tahun,Cluster,Kabupaten,Program Studi,Channel 1,Channel 2,Pesan Kunci,Waktu Optimal
2019,1,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2019,2,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2020,2,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2020,3,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2020,1,kabupaten pekalongan,sarjana teknologi informasi,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2021,2,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2021,1,kabupaten pekalongan,sarjana teknologi informasi,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2022,1,kabupaten pekalongan,sarjana teknologi informasi,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2022,2,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2023,5,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2023,3,kabupaten pekalongan,sarjana teknologi informasi,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2023,4,kota pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2024,4,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
2024,1,kota pekalongan,diploma tiga akuntansi,Instagram/TikTok Ads,Kunjungan SMA/SMK,Beasiswa & Aksesibilitas,Nov-Jan
2024,2,kabupaten pekalongan,sarjana informatika,Instagram/TikTok Ads,Kunjungan SMA/SMK,Teknologi & Karir,Nov-Jan
