Tahun,Fase,K,Sil,BIC,AIC,CH,DB,LL
2019,Pre-COVID,2,0.05219697330496087,48144.343031557575,47294.0151443707,0.0,0.0,-23362.00757218535
2019,Pre-COVID,3,0.08234487205928406,48520.19546376991,47243.21182967874,0.0,0.0,-23193.60591483937
2019,Pre-COVID,4,0.03768124569506462,48925.0556332784,47221.41625228294,0.0,0.0,-23039.70812614147
2020,COVID Crisis,2,0.10658409951876686,88922.17691476227,87892.43540444167,0.0,0.0,-43661.217702220834
2020,COVID Crisis,3,0.07979249523306212,88758.55370605506,87212.13487652096,0.0,0.0,-43178.06743826048
2020,COVID Crisis,4,0.053442181202918694,88986.40139338086,86923.30524463327,0.0,0.0,-42890.65262231664
2020,COVID Crisis,5,0.062271968130547084,88877.04772867306,86297.27426071197,0.0,0.0,-42434.637130355986
2020,COVID Crisis,6,0.06962811598062067,89077.54624646032,85981.09545928575,0.0,0.0,-42133.54772964287
2020,COVID Crisis,7,0.0637648147618956,89424.48117684956,85811.35307046148,0.0,0.0,-41905.67653523074
2021,COVID Crisis,2,0.07479064520223949,92635.32807796712,91578.80165251369,0.0,0.0,-45504.400826256846
2021,COVID Crisis,3,0.06616997602950712,92949.2566287588,91362.61343544628,0.0,0.0,-45253.30671772314
2021,COVID Crisis,4,0.06914675036809152,92687.46468657334,90570.70472540172,0.0,0.0,-44714.35236270086
2021,COVID Crisis,5,0.07059015864794056,93383.80037594147,90736.92364691077,0.0,0.0,-44654.461823455385
2021,COVID Crisis,6,0.07237784579347697,93246.73385682542,90069.74035993563,0.0,0.0,-44177.87017996782
2021,COVID Crisis,7,0.07349570982735004,93530.48409739077,89823.3738326419,0.0,0.0,-43911.68691632095
2021,COVID Crisis,8,0.07026913618065814,93965.7860371281,89728.55900452014,0.0,0.0,-43721.27950226007
2022,Recovery,2,0.06626395262403537,143513.51643056268,142337.35871309013,0.0,0.0,-70883.67935654506
2022,Recovery,3,0.048949541403420026,143563.6537338989,141797.353723098,0.0,0.0,-70470.676861549
2022,Recovery,4,0.053127541393409326,143823.82052639872,141467.37822226953,0.0,0.0,-70162.68911113476
2023,Recovery,2,0.11989517853437374,215058.8353599406,213770.0389124621,0.0,0.0,-106600.01945623105
2023,Recovery,3,0.0678241468989359,214904.4611507592,212969.00543314236,0.0,0.0,-106056.50271657118
2023,Recovery,4,0.05006653774065424,214893.85546388864,212311.74047613348,0.0,0.0,-105584.87023806674
2023,Recovery,5,0.0690750566404226,214845.07848570496,211616.30422781146,0.0,0.0,-105094.15211390573
2023,Recovery,6,0.07208530880588655,215017.90339298014,211142.4698649483,0.0,0.0,-104714.23493247415
2023,Recovery,7,0.06621484174600593,215211.4518735196,210689.35907534946,0.0,0.0,-104344.67953767473
2024,Recovery,2,0.06691249233805269,154031.29224634264,152828.42404786422,0.0,0.0,-76129.21202393211
2024,Recovery,3,0.06685966649261978,153875.09857414252,152068.68598133983,0.0,0.0,-75606.34299066992
2024,Recovery,4,0.05854314155090451,153715.22089561488,151305.26390848792,0.0,0.0,-75081.63195424396
2024,Recovery,5,0.06622718084236762,153898.7305066298,150885.2291251786,0.0,0.0,-74728.6145625893
2024,Recovery,6,0.0678379877867059,153918.95790729494,150301.91213151946,0.0,0.0,-74293.95606575973
